,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
11213,Francis Coquelin,France,Defensive Midfield,Valencia CF,Spain,Villarreal CF,Spain,7100000.0,2020
11214,Gerónimo Rulli,Argentina,Goalkeeper,Real Sociedad,Spain,Villarreal CF,Spain,5000000.0,2020
11215,Jorge Cuenca,Spain,Centre-Back,FC Barcelona B,Spain,Villarreal CF,Spain,2500000.0,2020
11216,Dani Parejo,Spain,Central Midfield,Valencia CF,Spain,Villarreal CF,Spain,2250000.0,2020
11217,Étienne Capoue,France,Defensive Midfield,Watford FC,England,Villarreal CF,Spain,2000000.0,2020
11218,Mario González,Spain,Centre-Forward,Clermont Foot 63,France,Villarreal CF,Spain,0.0,2020
11219,Iván Martín,Spain,Attacking Midfield,Villarreal CF B,Spain,Villarreal CF,Spain,0.0,2020
11220,Yéremy Pino,Spain,Right Winger,FC Villarreal C,Spain,Villarreal CF,Spain,0.0,2020
11221,Fer Niño,Spain,Centre-Forward,Villarreal CF B,Spain,Villarreal CF,Spain,0.0,2020
11222,Álex Baena,Spain,Attacking Midfield,Villarreal CF B,Spain,Villarreal CF,Spain,0.0,2020
11223,Karl Toko Ekambi,Cameroon,Centre-Forward,Villarreal CF,Spain,Olympique Lyon,France,11500000.0,2020
11224,Enes Ünal,Turkey,Centre-Forward,Villarreal CF,Spain,Getafe CF,Spain,9000000.0,2020
11225,Álvaro González,Spain,Centre-Back,Villarreal CF,Spain,Olympique Marseille,France,4000000.0,2020
11226,Akram Afif,Qatar,Left Winger,Villarreal CF,Spain,Al-Sadd SC,Qatar,1000000.0,2020
11227,Andrés Fernández,Spain,Goalkeeper,Villarreal CF,Spain,SD Huesca,Spain,500000.0,2020
11228,Santi Cazorla,Spain,Central Midfield,Villarreal CF,Spain,Al-Sadd SC,Qatar,0.0,2020
11231,Marc Cucurella,Spain,Left-Back,FC Barcelona,Spain,Getafe CF,Spain,11800000.0,2020
11232,Enes Ünal,Turkey,Centre-Forward,Villarreal CF,Spain,Getafe CF,Spain,9000000.0,2020
11233,Hugo Duro,Spain,Centre-Forward,Getafe CF B,Spain,Getafe CF,Spain,0.0,2020
11234,José Carlos Lazo,Spain,Left Winger,Getafe CF,Spain,UD Almería,Spain,4000000.0,2020
11235,Enric Gallego,Spain,Centre-Forward,Getafe CF,Spain,CA Osasuna,Spain,3000000.0,2020
11236,Iván Alejo,Spain,Right Winger,Getafe CF,Spain,Cádiz CF,Spain,2000000.0,2020
11237,Merveil Ndockyt,Congo,Left Winger,Getafe CF,Spain,NK Osijek,Croatia,550000.0,2020
11238,Raúl Carnero,Spain,Left-Back,Getafe CF,Spain,Real Valladolid CF,Spain,200000.0,2020
11239,Jorge Molina,Spain,Centre-Forward,Getafe CF,Spain,Granada CF,Spain,0.0,2020
11240,Antunes,Portugal,Left-Back,Getafe CF,Spain,Sporting CP,Portugal,0.0,2020
11241,Leandro Chichizola,Argentina,Goalkeeper,Getafe CF,Spain,FC Cartagena,Spain,0.0,2020
11242,Filip Manojlovic,Serbia,Goalkeeper,Getafe CF,Spain,UD San Sebastián de los Reyes,Spain,0.0,2020
11243,Fayçal Fajr,Morocco,Central Midfield,Getafe CF,Spain,Sivasspor,Turkey,?,2020
11244,Álvaro Jiménez,Spain,Left Winger,Getafe CF,Spain,Albacete Balompié,Spain,?,2020
11245,Carlos Fernández,Spain,Centre-Forward,Sevilla FC,Spain,Real Sociedad,Spain,10000000.0,2020
11246,David Silva,Spain,Attacking Midfield,Manchester City,England,Real Sociedad,Spain,0.0,2020
11247,Roberto López,Spain,Attacking Midfield,Real Sociedad B,Spain,Real Sociedad,Spain,0.0,2020
11248,Martín Zubimendi,Spain,Defensive Midfield,Real Sociedad B,Spain,Real Sociedad,Spain,0.0,2020
